item_code,representative_name,alias_count,first_source_row,review_status,is_active
[REQM]-QP10B,QP10B,1,300,confirmed,true
[REQM]-QP20B,QP20B,1,301,confirmed,true
[RQM]-QM1000SWH-C,QM1000S,1,122,confirmed,true
[RQM]-QMP5-WH,QMP5 화이트,2,430,confirmed,true
[RQM]-QP1000A1-BK,QP1000A 블랙,1,191,confirmed,true
[RQM]-QP1000A1-BL,QP1000A 블루,1,255,confirmed,true
[RQM]-QP1000A1-PK,QP1000A 핑크,1,256,confirmed,true
[RQM]-QP1000A1-WH,QP1000A 화이트,1,192,confirmed,true
[RQM]-QP1000C1-BK,QP1000C 블랙,2,181,confirmed,true
[RQM]-QP1000C1-BL,QP1000C 블루,2,326,confirmed,true
[RQM]-QP1000C1-PK,QP1000C 핑크,2,179,confirmed,true
[RQM]-QP1000C1-WH,QP1000C 화이트,2,180,confirmed,true
[RQM]-QP2000A-Beige,qp2000a 베이지,1,128,confirmed,true
[RQM]-QP2000A-Green,qp2000a 그린,2,129,confirmed,true
[RQM]-QP2000C1-Beige,QP2000C 베이지,2,335,confirmed,true
[RQM]-QP2000C1-BK,QP2000C 블랙,2,337,confirmed,true
[RQM]-QP2000C1-Green,QP2000C 포레그린,2,336,confirmed,true
[RQM]-QP2000C1-WH,QP2000C 화이트,2,334,confirmed,true
[RQM]-QP5000A-KA,QP5000A 카키,2,23,confirmed,true
[RQM]-QP5000A-SB,QP5000A 샌드베이지,1,65,confirmed,true
00094,와인 에어레이터 건전지,1,184,confirmed,true
17인치합금삼단봉,요히봉,1,208,confirmed,true
선물포장,SP-HW920 졸리트리포장지,4,210,confirmed,true
애플워치 스트랩 빅 그레이,WS-Big-Skygrey,1,141,confirmed,true
애플워치 스트랩 빅 그린,WS-Big-Green,1,137,confirmed,true
애플워치 스트랩 빅 블루,WS-Big-Blue,2,133,confirmed,true
애플워치 스트랩 빅 아이보리,WS-Big-Ivory,1,139,confirmed,true
애플워치 스트랩 빅 옐로우,WS-Big-Yellow,1,143,confirmed,true
애플워치 스트랩 빅 탄,WS-Big-Brown,1,145,confirmed,true
애플워치 스트랩 스몰 그레이,WS-Small-Skygrey,1,142,confirmed,true
애플워치 스트랩 스몰 그린,WS-Small-Green,1,138,confirmed,true
애플워치 스트랩 스몰 블루,WS-Small-Blue,2,134,confirmed,true
애플워치 스트랩 스몰 아이보리,WS-Small-Ivory,1,140,confirmed,true
애플워치 스트랩 스몰 옐로우,WS-Small-Yellow,1,144,confirmed,true
애플워치 스트랩 스몰 탄,WS-Small-Brown,1,146,confirmed,true
택배운송비,배송비,1,48,confirmed,true
흡착패드-블랙,다용도 흡착판 블랙,2,27,confirmed,true
흡착패드-화이트,다용도 흡착판 화이트,2,28,confirmed,true
ACONE-Sliconpad_SA,ACONE 실리콘패드,2,317,confirmed,true
CASE-lT-더스트백,더스트백,1,126,confirmed,true
CASE-QCM-I14,맥세이프케이스 아이폰14,1,239,confirmed,true
CASE-QCM-I14P,맥세이프케이스 아이폰14 프로,1,240,confirmed,true
CASE-QCM-I14PM,맥세이프케이스 아이폰14 프로맥스,1,241,confirmed,true
CASE-QP1000-Hand-GlB,QP1000C 실리콘케이스 야광핸디형_블루,2,474,confirmed,true
CASE-QP1000-Hand-GlG,QP1000C 실리콘케이스 야광핸디형_그린,2,476,confirmed,true
CASE-QP1000-Hand-GlO,QP1000C 실리콘케이스 야광핸디형_오렌지,2,475,confirmed,true
CASE-QP1000-Hand-GlY,QP1000C 실리콘케이스 야광핸디형_옐로우,2,473,confirmed,true
CASE-QP1000A-Ebony,실리콘 케이스 - 에보니,3,153,confirmed,true
CASE-QP1000A-Lavende,실리콘 케이스 - 라벤더,3,150,confirmed,true
