issue_key,issue_type,source_sheet,source_row,reference_value,details,resolved
8b091637a0962a90d61c3e33ecdc6126ddbfb7b8fd6a59974b99364cdce776fd,item_alias_unusable,품목 DB,203,``,"{""alias"":""``"",""item_code"":""SP-HW920-올리브-일반""}",false
5b4b48eb7c9a6fd01bee3361be0e09be7f67cf269d312631e53d09188c3eafd9,item_alias_missing_code,품목 DB,265,VAUX-QCL100-그린,"{""alias"":""VAUX-QCL100-그린""}",false
f4dad39106027aa7f79076f9ff85dc8082537dbba600e994283f421c118e84be,item_alias_conflict,품목 DB,135,wsbigbrown,"{""codes"":[""애플워치 스트랩 빅 블루"",""애플워치 스트랩 빅 탄""],""rows"":[135,145]}",false
bc9bde500e2812d6e8fc9241b111267fb78ed69898c8f6879df573e021943650,item_alias_conflict,품목 DB,136,wssmallbrown,"{""codes"":[""애플워치 스트랩 스몰 블루"",""애플워치 스트랩 스몰 탄""],""rows"":[136,146]}",false
66d7604379d2a6d1bdbd4635c339cc11c2a25483c3d728528c838ce24d513a61,item_alias_conflict,품목 DB,160,애플워치스트랩빅블루,"{""codes"":[""WS-Big-Blue"",""WS-Big-Brown""],""rows"":[160,162]}",false
ee2544c42576f1fdad6b1ee00725846fab03f65c9c2d20788d75b950ffe24723,item_alias_conflict,품목 DB,161,애플워치스트랩스몰블루,"{""codes"":[""WS-Small-Blue"",""WS-Small-Brown""],""rows"":[161,163]}",false
7ee3fa7d12524db7debd044efd1edc13bab72786f0f3899e3a8e9abfa5ab4b41,price_component_missing_item,3번) 세트분리 (RAW누적),13,CC100,"{""price_rule_key"":""ac7b60a0a25899afe02ed84bebdcde13765960291c54368742a989beaab49ce3""}",false
6f59f047b003e44e6b78764bd3029d8c9e959a8d6255d40adcedd367a1ee5ba5,price_component_missing_item,3번) 세트분리 (RAW누적),17,CC100,"{""price_rule_key"":""253f33126a42093249c1fae92f9eeb6644832ae595d46e226c7299c218f501e6""}",false
e0546cfbe16f9bb8f3deccbd809a2e64061aac5ca6e186756d79a8ab1fbfe8bf,price_component_missing_item,3번) 세트분리 (RAW누적),21,CC100,"{""price_rule_key"":""b33ab001860aacf912eed28645fd959cb31f7f08bc7d328e0dd5d3e85b3128ea""}",false
0d27707105a20e0c7ee4cdf7d2d597e3678c3ff9ba0c9cfb0803a198a71c4961,price_component_missing_item,3번) 세트분리 (RAW누적),25,CC100,"{""price_rule_key"":""26e08eda362b422c60e2b692acd37eced0fbd126e0dd0c120ce36bcd1fac661c""}",false
354a3fd2155eff21f9d8f5bc33b6fe68ffca84977eff6369d027b0c66f214c2a,price_component_missing_item,3번) 세트분리 (RAW누적),29,CC100,"{""price_rule_key"":""72e8e03b0a2c7ba9ced71d3ab188cdf6d88445cf8b3d8c1c1ae412f9c3f3ba66""}",false
995676a1c04f2ea4cb35cba8d92f60b0304ef3b5a5480f114157a52c8da720a6,price_component_missing_item,3번) 세트분리 (RAW누적),33,CC100,"{""price_rule_key"":""f12299437456fc83172aa6cfae0cbcdc0e073f41f949df1f1ff6ba0c4d3f7d8a""}",false
53f290ed58082e0b164f4237bb62def3a9a8d5ea1b74cec376a8b599ac3e2ed0,price_component_missing_item,3번) 세트분리 (RAW누적),37,CC100,"{""price_rule_key"":""3b4cc4a314357c1594616603faf797971ba197bb5113bdf40da2a1e589098556""}",false
6a612a2e58510eb98213271478a0ebfa99b063f467cd89a78952eef82818abb4,price_component_missing_item,3번) 세트분리 (RAW누적),41,CC100,"{""price_rule_key"":""ae517265870aaa87b4e44f53a6914db745e42fc60cb4fe7cc995280b66812da0""}",false
136087202a453f80373415c6b1814d37d9c0205e3fdd02b79cdc60da8ca9dc64,price_component_zero_price,3번) 세트분리 (RAW누적),2112,ACONE 실리콘패드,"{""price_rule_key"":""c1f141ce4bef2bb431664ac4a9091b77ea0f0e5d393efe0f8be2bc86f5e0dd07""}",false
91cdb0fcf3868b79846eef52e96c818c4f805eead88e2aa85a5d9922c4a7a180,price_component_zero_price,3번) 세트분리 (RAW누적),2114,ACONE 실리콘패드,"{""price_rule_key"":""fe83bc001548b94659999be22b1d75ace4b4b01a18bff7a0704fa467f7ae67ca""}",false
8999207f17b80e666fb987e82a5ae734db557f7d24457732674f53c11a91a465,price_component_zero_price,3번) 세트분리 (RAW누적),2116,ACONE 실리콘패드,"{""price_rule_key"":""a2b14a3648f1ac332eb35a4419b0f3ca806460f9007a7c0e13b0acdd2db2a1b5""}",false
b2aa8d40c286dd1a9ca58bc29c2f1dc7342f1387cf4ff1e0fbff30f4a51af680,price_component_zero_price,3번) 세트분리 (RAW누적),2118,ACONE 실리콘패드,"{""price_rule_key"":""95a3d789f54f109a4379e908d8ca3d028fa7f8a91dfa56d242554608fb3359be""}",false
8af935efbdaf90613beea72c0efb519744e772b3dd44498cf2b6d8ce9781b2fe,price_component_zero_price,3번) 세트분리 (RAW누적),2120,ACONE 실리콘패드,"{""price_rule_key"":""5d4c3c7eb82a9398aeffb30d0579303b160a05186f9922f324d0e21117bc7c65""}",false
f3e2bcd8eccb9f55bdef62aa7790363153a0af8baaef70d4af6274359c07146a,price_component_zero_price,3번) 세트분리 (RAW누적),2122,ACONE 실리콘패드,"{""price_rule_key"":""6fdcb809b6e7a1b19bda8e21441de2761e159f57ddba41975e31d6eec25ca1ab""}",false
64642bd8f09e2e682318a8ddb18525f342e24e434e26d679bfef638ba4ef2a9d,price_component_zero_price,3번) 세트분리 (RAW누적),2124,ACONE 실리콘패드,"{""price_rule_key"":""433ebb9280463d0e3a6020174e9875938c67b19b72bdde497a7b0fd0cc62bacb""}",false
