price_rule_key,sequence,source_row,component_alias,normalized_component_alias,item_code,quantity,allocated_unit_price,review_status
ac7b60a0a25899afe02ed84bebdcde13765960291c54368742a989beaab49ce3,1,11,QP5000A 올리브그린,qp5000a올리브그린,[RQM]-QP5000A-KA,1,66500,confirmed
ac7b60a0a25899afe02ed84bebdcde13765960291c54368742a989beaab49ce3,2,12,3IN1 케이블 T120F,3in1케이블t120f,CBL-T120F-3in1,1,7400,confirmed
ac7b60a0a25899afe02ed84bebdcde13765960291c54368742a989beaab49ce3,3,13,CC100,cc100,,1,2000,missing_item
ac7b60a0a25899afe02ed84bebdcde13765960291c54368742a989beaab49ce3,4,14,벨크로타이 3M,벨크로타이3m,Velcro-tie_3M,1,500,confirmed
253f33126a42093249c1fae92f9eeb6644832ae595d46e226c7299c218f501e6,1,15,QP5000A 샌드베이지,qp5000a샌드베이지,[RQM]-QP5000A-SB,1,66500,confirmed
253f33126a42093249c1fae92f9eeb6644832ae595d46e226c7299c218f501e6,2,16,3IN1 케이블 T120F,3in1케이블t120f,CBL-T120F-3in1,1,7400,confirmed
253f33126a42093249c1fae92f9eeb6644832ae595d46e226c7299c218f501e6,3,17,CC100,cc100,,1,2000,missing_item
253f33126a42093249c1fae92f9eeb6644832ae595d46e226c7299c218f501e6,4,18,벨크로타이 3M,벨크로타이3m,Velcro-tie_3M,1,500,confirmed
b33ab001860aacf912eed28645fd959cb31f7f08bc7d328e0dd5d3e85b3128ea,1,19,QP5000A 올리브그린,qp5000a올리브그린,[RQM]-QP5000A-KA,1,66500,confirmed
b33ab001860aacf912eed28645fd959cb31f7f08bc7d328e0dd5d3e85b3128ea,2,20,3IN1 케이블 T120F,3in1케이블t120f,CBL-T120F-3in1,1,7400,confirmed
b33ab001860aacf912eed28645fd959cb31f7f08bc7d328e0dd5d3e85b3128ea,3,21,CC100,cc100,,1,2000,missing_item
b33ab001860aacf912eed28645fd959cb31f7f08bc7d328e0dd5d3e85b3128ea,4,22,벨크로타이 3M,벨크로타이3m,Velcro-tie_3M,1,500,confirmed
