mapping_key,sequence,item_code,quantity,source_row
791121dc75518db3585c8d053d2b09e7822f8a5b9a4f1d2e1fc85e9e9b008022,1,QA-Jibbitz_TRAVEL,1,2
791121dc75518db3585c8d053d2b09e7822f8a5b9a4f1d2e1fc85e9e9b008022,2,GOOUTstciker_TRAVEL,1,2
7d99d8192871388c4ab09c3929d4ded9e1836f6cd9d78203be006a333eba8b0f,1,GOOUTstciker_TRAVEL,1,3
b8c34685d34430ef7016aebcb9ce4ae0e821503a9c444b4402d4387a32452da7,1,VAUX-QCL100-블랙,1,4
7012d787e16dab6a908a18ac69f9b132467c5d54cebb491dccc7e319d7c6ef75,1,VAUX-QCL100-샌드,1,5
7363174a0bc0dbb33a3e95b2b325f563dc6e01438176b9ae49e6750e66352945,1,QP1000C1-Butter,1,6
6950ea11342f340c43839033c8389013f98b3b4b2861581e1f8c0ca286ffe469,1,QP1000C1-Carrot,1,7
0256d0b7f7cc190f3b33cd00c34bb25724f433dfa80306eba2730139bc1f9306,1,QP1000C1-CobaltBlue,1,8
11e5552a385b94957b675441ec4a69d4948b19aaf52a3706529b4c408c65f750,1,[RQM]-QP1000C1-BL,1,9
f5f7309d06c0ae898341721ff7e265c8e26d1fbff530c9988d8c7e88870c772b,1,[RQM]-QP1000C1-PK,1,10
f38a0eea25b82ca569253693822ab3705a64820e1a626d6e540108f745c5a54b,1,[RQM]-QP1000C1-WH,1,11
f278116900cef12afbd318c66b200c9aaeb81ef6f6e0223f2a34d600690fe3d0,1,QP1000C1-NeonGreen,1,12
61a44da4f46b52783e6e149ca567faa403574d33b664749cc29e4742a1437d60,1,QP1000C1-Butter,1,13
085f50dce91ee4151946b39e6d980f837eb4647427268a29d1a60cd6487704f8,1,QP1000C1-Carrot,1,14
ba6a2d91397f64e2b96228cae47773b1ff3d9f02c35d5c0d019eef927b2cfc3d,1,QP1000C1-CobaltBlue,1,15
153142e26cb28f3cc7a73ce6a332bc272828023e20ef8655855008ee1828c667,1,[RQM]-QP1000C1-BK,1,16
1dda89850d503d642090e212b858349a242a5c286148fa6bfd744cfed445cae8,1,[RQM]-QP1000C1-BL,1,17
c4f811c86acaab1593619831cdf5cef1f2f83ea38421d0f5b976bbac2d0b5e38,1,[RQM]-QP1000C1-PK,1,18
35291fe2f635fbaee95a34eebfb40ebc2a1d48107c3d8623180404d0daa9a9f8,1,[RQM]-QP1000C1-WH,1,19
